method,group,n,mae_mean,mae_std,mae_mean_std,rmse_mean,rmse_std,rmse_mean_std,psnr_mean,psnr_std,psnr_mean_std,ssim_mean,ssim_std,ssim_mean_std
Gaussian,all,60,0.009111,0.000871,0.0091+/-0.0009,0.012495,0.000951,0.0125+/-0.0010,38.090016,0.662601,38.0900+/-0.6626,0.993229,0.001901,0.9932+/-0.0019
Gaussian,low,20,0.008510,0.000734,0.0085+/-0.0007,0.011867,0.000824,0.0119+/-0.0008,38.533067,0.606252,38.5331+/-0.6063,0.994638,0.001231,0.9946+/-0.0012
Gaussian,mid,20,0.008990,0.000541,0.0090+/-0.0005,0.012366,0.000612,0.0124+/-0.0006,38.165111,0.427012,38.1651+/-0.4270,0.993412,0.001398,0.9934+/-0.0014
Gaussian,high,20,0.009834,0.000759,0.0098+/-0.0008,0.013252,0.000849,0.0133+/-0.0008,37.571871,0.564170,37.5719+/-0.5642,0.991638,0.001720,0.9916+/-0.0017
NLM,all,60,0.006624,0.001506,0.0066+/-0.0015,0.008374,0.001900,0.0084+/-0.0019,41.772542,2.053650,41.7725+/-2.0536,0.993717,0.002594,0.9937+/-0.0026
NLM,low,20,0.005530,0.001264,0.0055+/-0.0013,0.006998,0.001587,0.0070+/-0.0016,43.309066,1.949401,43.3091+/-1.9494,0.995583,0.001730,0.9956+/-0.0017
NLM,mid,20,0.006499,0.001057,0.0065+/-0.0011,0.008212,0.001335,0.0082+/-0.0013,41.819357,1.404568,41.8194+/-1.4046,0.993956,0.001966,0.9940+/-0.0020
NLM,high,20,0.007842,0.001223,0.0078+/-0.0012,0.009913,0.001547,0.0099+/-0.0015,40.189202,1.482234,40.1892+/-1.4822,0.991611,0.002376,0.9916+/-0.0024
Noisy,all,60,0.006658,0.001577,0.0067+/-0.0016,0.008405,0.001990,0.0084+/-0.0020,41.762959,2.152123,41.7630+/-2.1521,0.993639,0.002922,0.9936+/-0.0029
Noisy,low,20,0.005495,0.001316,0.0055+/-0.0013,0.006938,0.001659,0.0069+/-0.0017,43.407469,2.052629,43.4075+/-2.0526,0.995815,0.001916,0.9958+/-0.0019
Noisy,mid,20,0.006526,0.001088,0.0065+/-0.0011,0.008239,0.001372,0.0082+/-0.0014,41.795989,1.435574,41.7960+/-1.4356,0.993914,0.002120,0.9939+/-0.0021
Noisy,high,20,0.007953,0.001267,0.0080+/-0.0013,0.010037,0.001599,0.0100+/-0.0016,40.085417,1.515956,40.0854+/-1.5160,0.991189,0.002640,0.9912+/-0.0026
ResidualUNet,all,60,0.005685,0.001131,0.0057+/-0.0011,0.007217,0.001449,0.0072+/-0.0014,43.013787,1.816915,43.0138+/-1.8169,0.995900,0.001509,0.9959+/-0.0015
ResidualUNet,low,20,0.004855,0.000990,0.0049+/-0.0010,0.006152,0.001261,0.0062+/-0.0013,44.391540,1.765399,44.3915+/-1.7654,0.997030,0.001114,0.9970+/-0.0011
ResidualUNet,mid,20,0.005602,0.000770,0.0056+/-0.0008,0.007108,0.000985,0.0071+/-0.0010,43.043084,1.196895,43.0431+/-1.1969,0.995975,0.001147,0.9960+/-0.0011
ResidualUNet,high,20,0.006599,0.000890,0.0066+/-0.0009,0.008392,0.001141,0.0084+/-0.0011,41.606735,1.272331,41.6067+/-1.2723,0.994696,0.001279,0.9947+/-0.0013
