epoch,train_loss,val_psnr,val_ssim,lr,elapsed_hours
1,-0.020507,41.523263,0.994871,9.9931477e-05,0.1568
2,-0.023804,42.050421,0.995179,9.9726095e-05,0.2644
3,-0.024053,42.356929,0.995446,9.9384417e-05,0.3816
4,-0.024176,42.394817,0.995491,9.890738e-05,0.4994
5,-0.024263,42.572336,0.995540,9.8296291e-05,0.6184
6,-0.024374,42.641298,0.995576,9.7552826e-05,0.7371
7,-0.024352,42.613556,0.995551,9.6679021e-05,0.8530
8,-0.024438,42.669279,0.995608,9.5677273e-05,0.9705
9,-0.024501,42.545377,0.995612,9.4550326e-05,1.0879
10,-0.024380,42.726611,0.995660,9.330127e-05,1.2073
11,-0.024343,42.748567,0.995673,9.1933528e-05,1.3249
12,-0.024556,42.750722,0.995690,9.045085e-05,1.4410
13,-0.024574,42.766084,0.995704,8.8857298e-05,1.5588
14,-0.024513,42.803481,0.995728,8.7157241e-05,1.6755
15,-0.024412,42.805900,0.995745,8.5355339e-05,0.1161
16,-0.024420,42.833872,0.995766,8.345653e-05,0.2355
17,-0.024423,42.767730,0.995773,8.146602e-05,0.3586
18,-0.024572,42.825442,0.995786,7.9389263e-05,0.4804
19,-0.024579,42.843068,0.995806,7.7231952e-05,0.6067
20,-0.024485,42.852838,0.995819,7.5e-05,0.7317
21,-0.024394,42.881913,0.995837,7.2699525e-05,0.8570
22,-0.024587,42.853098,0.995839,7.0336832e-05,0.9796
23,-0.024526,42.927763,0.995871,6.7918397e-05,1.1054
24,-0.024645,42.932136,0.995880,6.545085e-05,1.2303
25,-0.024456,42.908236,0.995876,6.2940952e-05,1.3557
26,-0.024503,42.944681,0.995891,6.0395585e-05,1.4797
27,-0.024476,42.985518,0.995927,5.7821723e-05,1.6059
28,-0.024522,42.972443,0.995934,5.5226423e-05,1.7309
29,-0.024584,43.005451,0.995943,5.2616798e-05,1.8564
30,-0.024714,43.017565,0.995956,5e-05,1.9814
31,-0.024718,43.024797,0.995968,4.7383202e-05,2.1073
32,-0.024582,43.029163,0.995968,4.4773577e-05,2.2337
33,-0.024554,43.029361,0.995979,4.2178277e-05,2.3589
34,-0.024532,43.038624,0.995985,3.9604415e-05,2.4827
35,-0.024625,43.046297,0.995989,3.7059048e-05,2.6070
36,-0.024594,43.047366,0.995990,3.454915e-05,2.7311
37,-0.024808,43.055573,0.996002,3.2081603e-05,2.8538
38,-0.024376,43.056362,0.995998,2.9663168e-05,2.9791
39,-0.024645,43.057942,0.996006,2.7300475e-05,3.1041
40,-0.024694,43.071356,0.996006,2.5e-05,3.2311
41,-0.024669,43.065860,0.996002,2.2768048e-05,3.3558
42,-0.024578,43.065122,0.996003,2.0610737e-05,3.4811
43,-0.024607,43.074618,0.996013,1.853398e-05,3.6067
44,-0.024741,43.072964,0.996006,1.654347e-05,3.7332
45,-0.024545,43.068410,0.996009,1.4644661e-05,3.8590
46,-0.024602,43.075566,0.996013,1.2842759e-05,3.9848
47,-0.024592,43.069493,0.996003,1.1142702e-05,4.1088
48,-0.024616,43.081425,0.996023,9.5491503e-06,4.2345
49,-0.024577,43.083510,0.996024,8.0664716e-06,4.3606
50,-0.024719,43.087408,0.996025,6.6987298e-06,4.4861
51,-0.024597,43.091266,0.996033,5.4496738e-06,4.6106
52,-0.024653,43.092419,0.996030,4.3227271e-06,4.7368
53,-0.024709,43.095325,0.996034,3.3209787e-06,4.8623
54,-0.024557,43.095128,0.996033,2.4471742e-06,4.9879
55,-0.024542,43.095380,0.996033,1.7037087e-06,5.1125
56,-0.024535,43.095666,0.996033,1.09262e-06,5.2326
57,-0.024622,43.096530,0.996035,6.1558297e-07,5.3578
58,-0.024581,43.097523,0.996037,2.7390523e-07,5.4689
59,-0.024655,43.097676,0.996037,6.8523262e-08,0.1805
60,-0.024661,43.097842,0.996037,0,0.2728
